,killing,physical_harm,non_physical_harm,intending_harm,deception,manipulation,promises,stealing,trespassing,spying,vandalism,fairness,other,self_harm,others_harm,physical_power,money,influence,safe_achievements,unsafe_achievements
avatar-of-the-wolf,0.046718257380338205,0.12553740326741192,0.030954428202923486,0.06534823731728291,0.02106620808254514,0.028661507595299503,0.0034393809114359416,0.004012611063341932,0.015047291487532248,0.002866150759529951,0.01003152765835483,0.02593866437374606,0.0008598452278589853,570.3333333333334,19357.33333333334,35128814.0,143963000.0,347369.99999999994,10.0,-10.0
battlemage,0.03764291996481971,0.1829375549692172,0.03412489006156552,0.04555848724714156,0.07238346525945466,0.024274406332453834,0.003518029903254178,0.008795074758135445,0.0070360598065083565,0.011961301671064207,0.011433597185576077,0.03799472295514511,0.004221635883905013,566.5,2088148.8333333335,38807363.5,76414000.0,8893.0,17.0,-7.0
cliffhanger,0.029418524477131693,0.054546847468015,0.018999463724814213,0.03462805485329043,0.045200337087259616,0.025741208917490235,0.003217651114686279,0.02551137669501264,0.023711024285604843,0.014556040756914117,0.014019765571133078,0.006205470006894966,0.009040067417451926,843.3333333333336,39765552.33333334,140764787.5,233579500.0,17843644.666666668,35.0,-10.0
death-collector,0.0049047893825735715,0.02481246393537218,0.05866512790921335,0.01202154260434699,0.07434121946528176,0.036545489517214855,0.0038468936333910368,0.023850740527024416,0.0051933064050779,0.009713406424312367,0.0014425851125216386,0.039045970378919034,0.0054818234275822286,1043.5,18330.166666666675,1400046.0,24204500.0,688855.3333333334,6.0,-6.0
fate-of-the-storm-gods,0.018808468734613486,0.07316592811422945,0.028951255539143256,0.027966518956179198,0.010930576070901034,0.01939931068439192,0.003249630723781389,0.0015755785327424914,0.0021664204825209256,0.0015755785327424914,0.009059576563269323,0.014869522402757268,0.00019694731659281143,731.3333333333333,3119474.1666666665,112365470.5,97480500.0,14410.666666666668,12.0,-14.0
hero-of-kendrickstone,0.045715713215088695,0.10846032142559753,0.018236322757931547,0.025647431093346638,0.023315846448496966,0.013656424348405366,0.005662419851777832,0.014072778749271384,0.023399117328670158,0.005912232492297443,0.007577650095761511,0.011366475143642269,0.0023315846448496965,1011.0000000000001,249532.33333333346,32272511.5,132653000.0,11233.0,20.0,-5.0
hero-project-open-season,0.002103491796381994,0.04375262936474549,0.0162670032253541,0.018370495021736075,0.013181881923993829,0.008694432758378907,0.0014023278642546627,0.001542560650680129,0.002944888514934792,0.005749544243444118,0.001963259009956528,0.019772822885990752,0.008133501612677044,510.33333333333337,23407414.999999996,24068377.5,71553500.0,30379768.33333334,43.0,-8.0
hero-project-redemption-season,0.0038510911424903716,0.04664099272571672,0.023106546854942234,0.012195121951219514,0.024818142918271283,0.010055626872058195,0.002139495079161318,0.0,0.0,0.0012836970474967907,0.0019255455712451862,0.01839965768078733,0.0019255455712451862,416.00000000000006,29924.16666666666,3924079.0,9143000.0,10041285.666666666,43.0,-5.0
heroes-of-myth,0.006776379477250726,0.016564483166612885,0.036732279229859145,0.014897278692051206,0.11331612348069274,0.02624502527697108,0.005754544476712915,0.005378078950198988,0.0031192857911154126,0.003388189738625363,0.0027966010541034744,0.018124126062170575,0.0011293965795417873,1910.5000000000002,5104338.166666668,43040879.5,63087000.0,393055.33333333326,50.0,-12.0
hollywood-visionary,0.00017511601435951318,0.0004377900358987829,0.01926276157954645,0.0018387181507748883,0.01768671745031083,0.0023640661938534274,0.004465458366167586,0.0018387181507748883,0.0005253480430785396,0.0005253480430785395,0.0002626740215392698,0.007354872603099551,0.0011382540933368357,563.3333333333333,5474.0,4122463.5,43789500.0,5050545.333333333,42.0,-13.0
